Wooden Pickaxe
Stone Pickaxe
Iron Pickaxe
Golden Pickaxe
Diamond Pickaxe
Wooden Shovel
Stone Shovel
Iron Shovel
Golden Shovel
Diamond Shovel
Wooden Axe
Stone Axe
Iron Axe
Golden Axe
Diamond Axe
Wooden Hoe
Stone Hoe
Iron Hoe
Golden Hoe
Diamond Hoe
Wooden Sword
Stone Sword
Iron Sword
Golden Sword
Diamond Sword
Bow
Arrow
Leather Helmet
Iron Helmet
Golden Helmet
Diamond Helmet
Leather Boots
Iron Boots
Golden Boots
Diamond Boots
Leather Chestplate
Iron Chestplate
Golden Chestplate
Diamond Chestplate
Leather Leggings
Iron Leggings
Golden Leggings
Diamond Leggings
chainmail_helmet
chainmail_chestplate
chainmail_leggings
chainmail_boots
netherite_helmet
netherite_chestplate
netherite_leggings
netherite_boots
golden_apple
